station,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
SEA,2015.0,1.0,6,0,53.96,50.0,86.41,200.0,9.20624,10.594356867199998,0.0,1025.6,10.0,2015-01-06T08:00:00Z
SEA,2015.0,1.0,6,1,53.6,50.0,87.56,190.0,9.20624,10.594356867199998,0.0,NA,10.0,2015-01-06T09:00:00Z
SEA,2015.0,1.0,6,2,53.6,48.2,81.87,200.0,9.20624,10.594356867199998,0.0,NA,10.0,2015-01-06T10:00:00Z
SEA,2015.0,1.0,6,3,53.06,48.92,85.78,210.0,12.658579999999999,14.567240692399997,0.0,1026.4,10.0,2015-01-06T11:00:00Z
SEA,2015.0,1.0,6,4,51.98,48.92,89.26,200.0,11.5078,13.242946083999998,0.0,1026.7,10.0,2015-01-06T12:00:00Z
SEA,2015.0,1.0,6,5,51.8,48.2,87.47,200.0,12.658579999999999,14.567240692399997,0.0,NA,10.0,2015-01-06T13:00:00Z
SEA,2015.0,1.0,6,6,53.6,48.2,81.87,180.0,11.5078,13.242946083999998,0.0,NA,10.0,2015-01-06T14:00:00Z
SEA,2015.0,1.0,6,7,48.92,46.04,89.73,0.0,0.0,0.0,0.0,1026.3,10.0,2015-01-06T15:00:00Z
SEA,2015.0,1.0,6,8,50.0,46.94,89.17,180.0,5.7539,6.621473041999999,0.0,1026.5,10.0,2015-01-06T16:00:00Z
SEA,2015.0,1.0,6,9,50.0,46.94,89.17,170.0,5.7539,6.621473041999999,0.0,1026.7,10.0,2015-01-06T17:00:00Z
SEA,2015.0,1.0,6,10,50.0,46.94,89.17,160.0,6.904679999999999,7.945767650399998,0.0,1026.7,10.0,2015-01-06T18:00:00Z
SEA,2015.0,1.0,6,11,48.92,46.04,89.73,120.0,5.7539,6.621473041999999,0.0,1026.3,10.0,2015-01-06T19:00:00Z
SEA,2015.0,1.0,6,12,48.02,46.04,92.81,130.0,4.60312,5.297178433599999,0.0,1026.3,10.0,2015-01-06T20:00:00Z
SEA,2015.0,1.0,6,13,48.02,44.96,89.08,110.0,3.4523399999999995,3.972883825199999,0.0,1026.2,10.0,2015-01-06T21:00:00Z
SEA,2015.0,1.0,6,14,44.96,42.98,92.72,0.0,0.0,0.0,0.0,1026.3,10.0,2015-01-06T22:00:00Z
SEA,2015.0,1.0,6,15,44.06,42.98,95.95,360.0,5.7539,6.621473041999999,0.0,1026.5,10.0,2015-01-06T23:00:00Z
SEA,2015.0,1.0,6,16,46.04,44.06,92.75,0.0,0.0,0.0,0.0,1026.5,10.0,2015-01-07T00:00:00Z
SEA,2015.0,1.0,6,17,48.02,46.04,92.81,340.0,3.4523399999999995,3.972883825199999,0.0,1026.9,10.0,2015-01-07T01:00:00Z
SEA,2015.0,1.0,6,18,48.2,46.4,93.45,40.0,3.4523399999999995,3.972883825199999,0.0,NA,10.0,2015-01-07T02:00:00Z
SEA,2015.0,1.0,6,19,51.08,46.94,85.67,0.0,0.0,0.0,0.0,1026.3,10.0,2015-01-07T03:00:00Z
SEA,2015.0,1.0,6,20,51.98,44.06,74.29,0.0,0.0,0.0,0.0,1025.8,10.0,2015-01-07T04:00:00Z
SEA,2015.0,1.0,6,21,53.6,44.6,71.45,0.0,0.0,0.0,0.0,NA,10.0,2015-01-07T05:00:00Z
SEA,2015.0,1.0,6,22,53.06,46.04,76.98,0.0,0.0,0.0,0.0,1025.6,10.0,2015-01-07T06:00:00Z
SEA,2015.0,1.0,6,23,48.92,46.04,89.73,280.0,3.4523399999999995,3.972883825199999,0.0,1026.2,10.0,2015-01-07T07:00:00Z
SEA,2015.0,1.0,7,0,46.94,44.96,92.78,0.0,0.0,0.0,0.0,1026.1,10.0,2015-01-07T08:00:00Z
SEA,2015.0,1.0,7,1,46.04,44.06,92.75,340.0,3.4523399999999995,3.972883825199999,0.0,1026.1,6.0,2015-01-07T09:00:00Z
SEA,2015.0,1.0,7,2,44.96,42.98,92.72,0.0,0.0,0.0,0.0,1026.3,6.0,2015-01-07T10:00:00Z
SEA,2015.0,1.0,7,3,44.06,42.98,95.95,340.0,4.60312,5.297178433599999,0.0,1026.3,5.0,2015-01-07T11:00:00Z
SEA,2015.0,1.0,7,4,42.98,42.08,96.6,280.0,3.4523399999999995,3.972883825199999,0.0,1026.5,4.0,2015-01-07T12:00:00Z
SEA,2015.0,1.0,7,5,44.6,44.6,100.0,310.0,3.4523399999999995,3.972883825199999,0.0,NA,0.25,2015-01-07T13:00:00Z
SEA,2015.0,1.0,7,6,44.96,44.06,96.63,310.0,3.4523399999999995,3.972883825199999,0.0,1026.2,0.25,2015-01-07T14:00:00Z
SEA,2015.0,1.0,7,7,44.96,44.06,96.63,40.0,3.4523399999999995,3.972883825199999,0.0,1026.0,0.25,2015-01-07T15:00:00Z
SEA,2015.0,1.0,7,8,44.96,44.06,96.63,0.0,0.0,0.0,0.0,1026.8,0.25,2015-01-07T16:00:00Z
SEA,2015.0,1.0,7,9,44.96,42.98,92.72,0.0,0.0,0.0,0.0,1026.9,0.25,2015-01-07T17:00:00Z
SEA,2015.0,1.0,7,10,44.06,42.98,95.95,330.0,3.4523399999999995,3.972883825199999,0.0,1026.9,0.25,2015-01-07T18:00:00Z
SEA,2015.0,1.0,7,11,44.6,42.8,93.35,290.0,3.4523399999999995,3.972883825199999,0.0,NA,0.25,2015-01-07T19:00:00Z
SEA,2015.0,1.0,7,12,44.6,42.8,93.35,20.0,4.60312,5.297178433599999,0.0,NA,0.25,2015-01-07T20:00:00Z
SEA,2015.0,1.0,7,13,44.6,42.8,93.35,10.0,4.60312,5.297178433599999,0.0,NA,0.25,2015-01-07T21:00:00Z
